iter	Passed	Remaining
1091	3373	27516
1092	3375	27510
1093	3378	27505
1094	3382	27507
1095	3385	27503
1096	3388	27501
1097	3391	27495
1098	3394	27490
1099	3397	27489
1100	3400	27488
1101	3403	27483
1102	3406	27479
1103	3409	27474
1104	3412	27470
1105	3416	27470
1106	3418	27465
1107	3422	27462
1108	3424	27458
1109	3427	27453
1110	3431	27453
1111	3434	27448
1112	3437	27444
1113	3440	27444
1114	3443	27438
1115	3446	27437
1116	3449	27430
1117	3452	27424
1118	3454	27420
1119	3457	27415
1120	3460	27410
1121	3463	27408
1122	3466	27402
1123	3469	27399
1124	3472	27396
1125	3475	27392
1126	3478	27387
1127	3482	27388
1128	3484	27382
1129	3488	27380
1130	3491	27376
1131	3494	27372
1132	3497	27373
1133	3500	27369
1134	3503	27367
1135	3506	27362
1136	3509	27357
1137	3512	27354
1138	3516	27355
1139	3519	27352
1140	3522	27348
1141	3525	27344
1142	3528	27340
1143	3531	27340
1144	3534	27335
1145	3537	27332
1146	3540	27327
1147	3543	27321
1148	3546	27322
1149	3550	27323
1150	3553	27319
1151	3556	27315
1152	3559	27309
1153	3562	27309
1154	3566	27312
1155	3569	27309
1156	3572	27306
1157	3575	27301
1158	3578	27298
1159	3582	27300
1160	3585	27297
1161	3588	27293
1162	3591	27287
1163	3594	27284
1164	3597	27285
1165	3600	27281
1166	3603	27277
1167	3606	27273
1168	3609	27268
1169	3613	27270
1170	3617	27271
1171	3620	27268
1172	3623	27263
1173	3625	27257
1174	3629	27258
1175	3632	27255
1176	3635	27252
1177	3638	27248
1178	3641	27243
1179	3644	27242
1180	3648	27244
1181	3651	27240
1182	3654	27238
1183	3657	27232
1184	3660	27232
1185	3664	27232
1186	3667	27228
1187	3670	27225
1188	3673	27220
1189	3676	27216
1190	3680	27221
1191	3683	27217
1192	3687	27219
1193	3689	27213
1194	3692	27209
1195	3696	27210
1196	3699	27205
1197	3702	27204
1198	3705	27200
1199	3708	27197
1200	3712	27196
1201	3715	27193
1202	3718	27193
1203	3721	27188
1204	3724	27182
1205	3727	27180
1206	3731	27180
1207	3734	27177
1208	3737	27174
1209	3740	27169
1210	3743	27166
1211	3746	27168
1212	3749	27163
1213	3752	27159
1214	3755	27154
1215	3758	27150
1216	3762	27151
1217	3765	27147
1218	3768	27144
1219	3771	27140
1220	3774	27135
1221	3777	27137
1222	3780	27132
1223	3783	27128
1224	3786	27125
1225	3789	27120
1226	3793	27122
1227	3796	27119
1228	3799	27118
1229	3802	27115
1230	3805	27109
1231	3809	27108
1232	3812	27108
